"status","locale","kind","product","url","http_status","redirects","lang","title","description","robots","canonical","h1","issues"
"PASS","en","marketing","","https://www.360configurator.com/","200","0","en","Industrial 3D Product Configuration — 360Configurator","Industrial 3D visual and spatial product configuration for complex products, real-time pricing and production-ready outputs.","index, follow","https://www.360configurator.com/","Complex products.Made self-evident.",""
"PASS","en","marketing","","https://www.360configurator.com/about","200","0","en","About us — 360Configurator","The product thinking, engineering principles and research behind 360Configurator.","index, follow","https://www.360configurator.com/about","We make industrial logicvisible, usable, valuable.",""
"PASS","en","marketing","","https://www.360configurator.com/contact","200","0","en","Contact us — 360Configurator","Discuss a custom spatial 3D product configurator with 360Configurator.","index, follow","https://www.360configurator.com/contact","Bring us the productthat resists simplification.",""
"PASS","en","marketing-product","window","https://www.360configurator.com/configurators/window","200","0","en","3D Window Configurator Online | Window & Profile Systems — 360Configurator","Configure windows online in 3D with parametric dimensions, profile systems, glazing, bicolor finishes, opening simulation and exploded technical views.","index, follow","https://www.360configurator.com/configurators/window","3D Window Configurator Online",""
"PASS","en","marketing-product","pergola","https://www.360configurator.com/configurators/pergola","200","0","en","3D Pergola Configurator Online | Design Pergolas — 360Configurator","Design and configure a pergola online in 3D. Adjust dimensions, louvers, side enclosures, lighting, automation, accessories and live pricing.","index, follow","https://www.360configurator.com/configurators/pergola","3D Pergola Configurator Online",""
"PASS","en","marketing-product","roof","https://www.360configurator.com/configurators/roof","200","0","en","3D Roof Configurator Online | Roof Design & BOM — 360Configurator","Configure roof geometry online in 3D. Set dimensions, pitch, roof type and materials, then calculate quantities, BOM data and CSV quote outputs.","index, follow","https://www.360configurator.com/configurators/roof","3D Roof Configurator Online",""
"PASS","en","marketing-product","hall","https://www.360configurator.com/configurators/hall","200","0","en","3D Industrial Hall Configurator | Warehouse Design — 360Configurator","Configure an industrial hall or warehouse in 3D. Adjust dimensions, portal frames, structural spacing, cladding, access openings and building layers.","index, follow","https://www.360configurator.com/configurators/hall","3D Industrial Hall Configurator",""
"PASS","en","marketing-product","solar","https://www.360configurator.com/configurators/solar","200","0","en","3D Solar Configurator | PV System & Roof Design — 360Configurator","Configure a residential solar system in 3D with roof geometry, panel layout, sun position, household consumption, battery storage and energy analysis.","index, follow","https://www.360configurator.com/configurators/solar","3D Solar System Configurator",""
"PASS","en","app","window","https://www.360configurator.com/window-configurator/","200","0","en","3D Window Configurator | 360Configurator","Configure windows online in 3D. Adjust dimensions, layout, profiles and opening types in an interactive window configurator.","index, follow","https://www.360configurator.com/window-configurator/","Schüco Window System AW CT 65 | Window AR view",""
"PASS","en","app","pergola","https://www.360configurator.com/pergola-configurator/","200","0","en","3D Pergola Configurator | 360Configurator","Configure a pergola online in 3D. Adjust dimensions, louvers, side closures, lighting and accessories in real time.","index, follow","https://www.360configurator.com/pergola-configurator/","","INFO:APP_H1_MISSING:App has no H1. This is acceptable for the lightweight app SEO layer, but worth reviewing."
"PASS","en","app","roof","https://www.360configurator.com/roof-configurator/","200","0","en","3D Roof Configurator | 360Configurator","Configure a roof online in 3D. Compare roof types, dimensions and construction options with real-time parametric visualization.","index, follow","https://www.360configurator.com/roof-configurator/","Roof type",""
"PASS","en","app","hall","https://www.360configurator.com/hall-configurator/","200","0","en","3D Industrial Hall Configurator | 360Configurator","Configure an industrial hall or warehouse online in 3D. Adjust dimensions, structure, cladding, openings and building options interactively.","index, follow","https://www.360configurator.com/hall-configurator/","Hall settings",""
"PASS","en","app","solar","https://www.360configurator.com/solar-configurator/","200","0","en","3D Solar Configurator | 360Configurator","Configure a residential solar system online in 3D. Explore roof geometry, panel layouts and energy simulation in real time.","index, follow","https://www.360configurator.com/solar-configurator/","Roof",""
"PASS","ro","marketing","","https://www.360configurator.ro/","200","0","ro","Configurare 3D pentru produse industriale — 360Configurator","Configuratoare 3D spațiale cu prețuri dinamice, BOM și randare în timp real.","index, follow","https://www.360configurator.ro/","Produse complexe.Claritate imediată.",""
"PASS","ro","marketing","","https://www.360configurator.ro/about","200","0","ro","Despre noi — 360Configurator","Principiile de produs, inginerie și cercetare din spatele 360Configurator.","index, follow","https://www.360configurator.ro/about","Facem logica industrialăvizibilă, utilizabilă, valoroasă.",""
"PASS","ro","marketing","","https://www.360configurator.ro/contact","200","0","ro","Contact — 360Configurator","Discută cu 360Configurator despre un configurator spațial 3D personalizat.","index, follow","https://www.360configurator.ro/contact","Adu-ne produsulcare refuză simplificarea.",""
"PASS","ro","marketing-product","window","https://www.360configurator.ro/configurators/window","200","0","ro","Configurator Ferestre 3D Online | Profile & Vitraj — 360Configurator","Configurează ferestre online în 3D cu dimensiuni parametrice, profile, vitraj, finisaje bicolore, simularea deschiderii și vedere explodată.","index, follow","https://www.360configurator.ro/configurators/window","Configurator ferestre 3D online",""
"PASS","ro","marketing-product","pergola","https://www.360configurator.ro/configurators/pergola","200","0","ro","Configurator Pergolă 3D Online | Proiectare Pergole — 360Configurator","Configurează o pergolă online în 3D. Alege dimensiunile, lamelele, închiderile laterale, iluminatul, automatizarea, accesoriile și prețul live.","index, follow","https://www.360configurator.ro/configurators/pergola","Configurator pergolă 3D online",""
"PASS","ro","marketing-product","roof","https://www.360configurator.ro/configurators/roof","200","0","ro","Configurator Acoperiș 3D Online | Proiectare & BOM — 360Configurator","Configurează un acoperiș online în 3D. Alege forma, dimensiunile, panta și materialele și obține cantități, BOM și ofertă CSV.","index, follow","https://www.360configurator.ro/configurators/roof","Configurator acoperiș 3D online",""
"PASS","ro","marketing-product","hall","https://www.360configurator.ro/configurators/hall","200","0","ro","Configurator Hală Industrială 3D | Hale & Depozite — 360Configurator","Configurează o hală industrială sau un depozit în 3D. Modifică dimensiunile, cadrele portal, traveile, închiderile și golurile de acces.","index, follow","https://www.360configurator.ro/configurators/hall","Configurator hală industrială 3D",""
"PASS","ro","marketing-product","solar","https://www.360configurator.ro/configurators/solar","200","0","ro","Configurator Panouri Solare 3D | Sistem Fotovoltaic — 360Configurator","Configurează un sistem fotovoltaic rezidențial în 3D cu geometria acoperișului, panouri, poziția soarelui, consum, baterie și analiză energetică.","index, follow","https://www.360configurator.ro/configurators/solar","Configurator sistem fotovoltaic 3D",""
"PASS","ro","app","window","https://www.360configurator.ro/configurator-ferestre/","200","0","ro","Configurator Ferestre 3D | 360Configurator","Configurează ferestre online în 3D. Modifică dimensiunile, compartimentarea, profilele și tipurile de deschidere în timp real.","index, follow","https://www.360configurator.ro/configurator-ferestre/","Schüco Window System AW CT 65 | Window AR view",""
"PASS","ro","app","pergola","https://www.360configurator.ro/configurator-pergola/","200","0","ro","Configurator Pergolă 3D | 360Configurator","Configurează o pergolă online în 3D. Modifică dimensiunile, lamelele, închiderile laterale, iluminatul și accesoriile în timp real.","index, follow","https://www.360configurator.ro/configurator-pergola/","","INFO:APP_H1_MISSING:App has no H1. This is acceptable for the lightweight app SEO layer, but worth reviewing."
"PASS","ro","app","roof","https://www.360configurator.ro/configurator-acoperis/","200","0","ro","Configurator Acoperiș 3D | 360Configurator","Configurează un acoperiș online în 3D. Alege tipul, dimensiunile și opțiunile constructive cu vizualizare parametrică în timp real.","index, follow","https://www.360configurator.ro/configurator-acoperis/","Roof type",""
"PASS","ro","app","hall","https://www.360configurator.ro/configurator-hala/","200","0","ro","Configurator Hală Industrială 3D | 360Configurator","Configurează o hală industrială sau un depozit online în 3D. Modifică dimensiunile, structura, închiderile și golurile în timp real.","index, follow","https://www.360configurator.ro/configurator-hala/","Hall settings",""
"PASS","ro","app","solar","https://www.360configurator.ro/configurator-solar/","200","0","ro","Configurator Solar 3D | 360Configurator","Configurează un sistem fotovoltaic rezidențial online în 3D. Explorează geometria acoperișului, amplasarea panourilor și simularea energiei.","index, follow","https://www.360configurator.ro/configurator-solar/","Roof",""
"PASS","de","marketing","","https://www.360konfigurator.de/","200","0","de","3D-Konfiguration für Industrieprodukte — 360Configurator","Räumliche 3D-Konfiguratoren mit dynamischer Preisbildung, Stücklisten und Echtzeit-Rendering.","index, follow","https://www.360konfigurator.de/","Komplexe Produkte.Unmittelbar verständlich.",""
"PASS","de","marketing","","https://www.360konfigurator.de/about","200","0","de","Über uns — 360Configurator","Produktdenken, technische Prinzipien und Forschung hinter 360Configurator.","index, follow","https://www.360konfigurator.de/about","Wir machen industrielle Logiksichtbar, nutzbar, wertvoll.",""
"PASS","de","marketing","","https://www.360konfigurator.de/contact","200","0","de","Kontakt — 360Configurator","Sprechen Sie mit 360Configurator über einen individuellen räumlichen 3D-Konfigurator.","index, follow","https://www.360konfigurator.de/contact","Bringen Sie uns das Produkt,das sich nicht vereinfachen lässt.",""
"PASS","de","marketing-product","window","https://www.360konfigurator.de/configurators/window","200","0","de","3D Fenster-Konfigurator Online | Profile & Verglasung — 360Configurator","Konfigurieren Sie Fenster online in 3D mit parametrischen Maßen, Profilsystemen, Verglasung, Bicolor-Oberflächen, Öffnung und Explosionsansicht.","index, follow","https://www.360konfigurator.de/configurators/window","3D Fenster-Konfigurator online",""
"PASS","de","marketing-product","pergola","https://www.360konfigurator.de/configurators/pergola","200","0","de","3D Pergola-Konfigurator Online | Pergola planen — 360Configurator","Planen und konfigurieren Sie Ihre Pergola online in 3D. Passen Sie Maße, Lamellen, Seitenabschlüsse, Beleuchtung, Automatisierung und Zubehör an.","index, follow","https://www.360konfigurator.de/configurators/pergola","3D Pergola-Konfigurator online",""
"PASS","de","marketing-product","roof","https://www.360konfigurator.de/configurators/roof","200","0","de","3D Dach-Konfigurator Online | Dach planen & Stückliste — 360Configurator","Konfigurieren Sie Ihr Dach online in 3D. Wählen Sie Dachform, Maße, Neigung und Material und ermitteln Sie Mengen, Stückliste und CSV-Angebot.","index, follow","https://www.360konfigurator.de/configurators/roof","3D Dach-Konfigurator online",""
"PASS","de","marketing-product","hall","https://www.360konfigurator.de/configurators/hall","200","0","de","3D Hallen-Konfigurator | Industriehalle & Lagerhalle — 360Configurator","Konfigurieren Sie Industriehallen und Lagerhallen in 3D. Passen Sie Maße, Portalrahmen, Raster, Gebäudehülle und Zugangsöffnungen interaktiv an.","index, follow","https://www.360konfigurator.de/configurators/hall","3D Hallen-Konfigurator",""
"PASS","de","marketing-product","solar","https://www.360konfigurator.de/configurators/solar","200","0","de","3D Solar-Konfigurator | Photovoltaik-Anlage planen — 360Configurator","Konfigurieren Sie eine Photovoltaik-Anlage in 3D mit Dachgeometrie, Modulbelegung, Sonnenstand, Verbrauch, Batteriespeicher und Energieanalyse.","index, follow","https://www.360konfigurator.de/configurators/solar","3D Photovoltaik-Konfigurator",""
"PASS","de","app","window","https://www.360konfigurator.de/fenster-konfigurator/","200","0","de","3D Fenster-Konfigurator | 360Configurator","Konfigurieren Sie Fenster online in 3D. Passen Sie Maße, Aufteilung, Profile und Öffnungsarten interaktiv an.","index, follow","https://www.360konfigurator.de/fenster-konfigurator/","Schüco Window System AW CT 65 | Window AR view",""
"PASS","de","app","pergola","https://www.360konfigurator.de/pergola-konfigurator/","200","0","de","3D Pergola-Konfigurator | 360Configurator","Konfigurieren Sie Ihre Pergola online in 3D. Passen Sie Maße, Lamellen, Seitenabschlüsse, Beleuchtung und Zubehör in Echtzeit an.","index, follow","https://www.360konfigurator.de/pergola-konfigurator/","","INFO:APP_H1_MISSING:App has no H1. This is acceptable for the lightweight app SEO layer, but worth reviewing."
"PASS","de","app","roof","https://www.360konfigurator.de/dach-konfigurator/","200","0","de","3D Dach-Konfigurator | 360Configurator","Konfigurieren Sie ein Dach online in 3D. Wählen Sie Dachform, Maße und Konstruktionsoptionen mit parametrischer Echtzeitansicht.","index, follow","https://www.360konfigurator.de/dach-konfigurator/","Roof type",""
"PASS","de","app","hall","https://www.360konfigurator.de/hallen-konfigurator/","200","0","de","3D Hallen-Konfigurator | 360Configurator","Konfigurieren Sie eine Industriehalle oder Lagerhalle online in 3D. Passen Sie Maße, Tragwerk, Verkleidung und Öffnungen interaktiv an.","index, follow","https://www.360konfigurator.de/hallen-konfigurator/","Hall settings",""
"PASS","de","app","solar","https://www.360konfigurator.de/solar-konfigurator/","200","0","de","3D Solar-Konfigurator | 360Configurator","Konfigurieren Sie eine Photovoltaikanlage online in 3D. Prüfen Sie Dachgeometrie, Modulbelegung und Energiesimulation in Echtzeit.","index, follow","https://www.360konfigurator.de/solar-konfigurator/","Roof",""
